speaker_id,name,role,gender,party,faction,terms,utterance_count,category,score,word_count,top_words
佐久本洋介,佐久本 洋介,議長,男,無所属,-,"1,2,3,4",2441,暮らし・福祉,0.422926,22,"傍聴,難病,民泊,弁償,人権"
佐久本洋介,佐久本 洋介,議長,男,無所属,-,"1,2,3,4",2441,医療・健康,0.41641,21,"難病,健診,虐待,患者,接種"
佐久本洋介,佐久本 洋介,議長,男,無所属,-,"1,2,3,4",2441,子ども・教育,0.417027,19,"休園,文教,学力,校区,学級"
佐久本洋介,佐久本 洋介,議長,男,無所属,-,"1,2,3,4",2441,まちづくり・インフラ,0.589646,33,"断水,工務,用排水,工区,埋め立て"
佐久本洋介,佐久本 洋介,議長,男,無所属,-,"1,2,3,4",2441,農業・水産業,0.390287,21,"漁協,農漁業,山羊,漁港,養殖"
佐久本洋介,佐久本 洋介,議長,男,無所属,-,"1,2,3,4",2441,観光・産業,0.460337,24,"祝辞,民泊,受章,楽園,球場"
佐久本洋介,佐久本 洋介,議長,男,無所属,-,"1,2,3,4",2441,環境・防災,0.555538,37,"断水,断層,充電,防火,雨漏り"
佐久本洋介,佐久本 洋介,議長,男,無所属,-,"1,2,3,4",2441,財政・税金,0.619064,43,"金利,補佐,損傷,増税,剰余"
佐久本洋介,佐久本 洋介,議長,男,無所属,-,"1,2,3,4",2441,行政・議会運営,1.336549,69,"陳情,投票,陳述,表決,議席"
佐久本洋介,佐久本 洋介,議長,男,無所属,-,"1,2,3,4",2441,安全保障・基地問題,0.481746,23,"弾薬,空軍,海兵,米軍,駐屯"
上地昭人,上地昭人,事務局長,,,,,390,暮らし・福祉,0.191054,7,"休業,義捐,人権,引っ越し,扶養"
上地昭人,上地昭人,事務局長,,,,,390,医療・健康,0.32122,11,"ｐｃｒ,抗原,虐待,接種,認知"
上地昭人,上地昭人,事務局長,,,,,390,子ども・教育,0.685695,18,"学級,授業,教職員,教科,学年"
上地昭人,上地昭人,事務局長,,,,,390,まちづくり・インフラ,0.715415,23,"土工,ｉｃｔ,型枠,工区,数量"
上地昭人,上地昭人,事務局長,,,,,390,農業・水産業,0.089551,3,"食材,ｈａｃｃｐ,漁協"
上地昭人,上地昭人,事務局長,,,,,390,観光・産業,0.150976,6,"表彰,音楽,朗読,物品,旅費"
上地昭人,上地昭人,事務局長,,,,,390,環境・防災,0.398091,17,"廃校,暴風,警報,土砂,破損"
上地昭人,上地昭人,事務局長,,,,,390,財政・税金,0.255623,11,"返済,納入,補充,落札,充当"
上地昭人,上地昭人,事務局長,,,,,390,行政・議会運営,1.093934,37,"陳述,会派,議席,陳情,辞任"
上地昭人,上地昭人,事務局長,,,,,390,安全保障・基地問題,0.289445,10,"空軍,軍艦,駐屯,米軍,海兵"
下地敏彦,下地敏彦,市長,,,,,1571,暮らし・福祉,0.34204,19,"難病,人権,不妊,就農,休業"
下地敏彦,下地敏彦,市長,,,,,1571,医療・健康,0.403593,20,"口蹄,防疫,外科,難病,不妊"
下地敏彦,下地敏彦,市長,,,,,1571,子ども・教育,0.316521,19,"学級,学力,学術,教科,文教"
下地敏彦,下地敏彦,市長,,,,,1571,まちづくり・インフラ,0.65232,35,"水源,工区,浄水,約款,ｌｅｄ"
下地敏彦,下地敏彦,市長,,,,,1571,農業・水産業,0.506646,24,"牧場,肥育,漁協,食肉,養殖"
下地敏彦,下地敏彦,市長,,,,,1571,観光・産業,0.448789,25,"旅客,祝賀,航路,球団,購買"
下地敏彦,下地敏彦,市長,,,,,1571,環境・防災,0.616798,37,"断層,炭素,防除,風力,太陽"
下地敏彦,下地敏彦,市長,,,,,1571,財政・税金,0.671995,45,"公庫,財団,公債,増税,補佐"
下地敏彦,下地敏彦,市長,,,,,1571,行政・議会運営,1.13703,68,"投票,政権,専決,公社,解散"
下地敏彦,下地敏彦,市長,,,,,1571,安全保障・基地問題,0.470108,24,"領海,領土,拉致,米軍,射撃"
島尻誠,島尻 誠,不明,,,,,358,暮らし・福祉,0.241019,9,"空き家,就労,労務,療養,傍聴"
島尻誠,島尻 誠,不明,,,,,358,医療・健康,0.380159,13,"ｐｃｒ,医師,抗原,接種,診療"
島尻誠,島尻 誠,不明,,,,,358,子ども・教育,0.243832,9,"教職員,文教,休校,授業,入学"
島尻誠,島尻 誠,不明,,,,,358,まちづくり・インフラ,0.712342,24,"断水,水源,工区,取水,約款"
島尻誠,島尻 誠,不明,,,,,358,農業・水産業,0.548579,19,"生乳,肥育,和牛,山羊,養殖"
島尻誠,島尻 誠,不明,,,,,358,観光・産業,0.200695,11,"売り払い,旅客,飲食,購買,物流"
島尻誠,島尻 誠,不明,,,,,358,環境・防災,0.55957,23,"断水,断層,崖下,土砂,雨漏り"
島尻誠,島尻 誠,不明,,,,,358,財政・税金,0.306332,17,"還元,随意,落札,収穫,予備"
島尻誠,島尻 誠,不明,,,,,358,行政・議会運営,0.812458,33,"投票,動議,陳情,賛否,判決"
島尻誠,島尻 誠,不明,,,,,358,安全保障・基地問題,0.243007,9,"弾薬,陣地,追悼,米軍,駐屯"
松原清光,松原清光,農林水産部長,,,,,808,暮らし・福祉,0.118268,5,"就農,労務,不妊,就労,移住"
松原清光,松原清光,農林水産部長,,,,,808,医療・健康,0.192344,8,"防疫,医師,接種,診療,不妊"
松原清光,松原清光,農林水産部長,,,,,808,子ども・教育,0.021834,2,"講座,学区"
松原清光,松原清光,農林水産部長,,,,,808,まちづくり・インフラ,0.820059,31,"水門,浚渫,用排水,取水,土工"
松原清光,松原清光,農林水産部長,,,,,808,農業・水産業,0.936813,28,"山羊,耕土,肥育,和牛,圃場"
松原清光,松原清光,農林水産部長,,,,,808,観光・産業,0.136781,10,"製造,購買,航路,楽園,旅費"
松原清光,松原清光,農林水産部長,,,,,808,環境・防災,0.434609,19,"防除,土砂,珊瑚,除草,雨水"
松原清光,松原清光,農林水産部長,,,,,808,財政・税金,0.404463,22,"収穫,減価,償却,損益,賦課"
松原清光,松原清光,農林水産部長,,,,,808,行政・議会運営,0.28094,19,"謝罪,公益,規格,専決,解散"
松原清光,松原清光,農林水産部長,,,,,808,安全保障・基地問題,0.035211,3,"火薬,米国,弾薬"
下地信男,下地 信男,教育部長,男,無所属,幸政会,"5,6",1143,暮らし・福祉,0.354205,17,"労務,民泊,難病,移住,不妊"
