speaker_id,name,role,gender,party,faction,terms,utterance_count,word,tfidf,count,rank
佐久本洋介,佐久本 洋介,議長,男,無所属,-,"1,2,3,4",2441,震盪,0.052536,12,1
佐久本洋介,佐久本 洋介,議長,男,無所属,-,"1,2,3,4",2441,在職,0.042831,56,2
佐久本洋介,佐久本 洋介,議長,男,無所属,-,"1,2,3,4",2441,渡船,0.041238,19,3
佐久本洋介,佐久本 洋介,議長,男,無所属,-,"1,2,3,4",2441,弗化,0.041054,14,4
佐久本洋介,佐久本 洋介,議長,男,無所属,-,"1,2,3,4",2441,貸し金,0.04097,10,5
佐久本洋介,佐久本 洋介,議長,男,無所属,-,"1,2,3,4",2441,会期,0.040216,161,6
佐久本洋介,佐久本 洋介,議長,男,無所属,-,"1,2,3,4",2441,擬木,0.039556,6,7
佐久本洋介,佐久本 洋介,議長,男,無所属,-,"1,2,3,4",2441,標記,0.039315,12,8
佐久本洋介,佐久本 洋介,議長,男,無所属,-,"1,2,3,4",2441,会名,0.038995,23,9
佐久本洋介,佐久本 洋介,議長,男,無所属,-,"1,2,3,4",2441,洗口,0.038767,15,10
佐久本洋介,佐久本 洋介,議長,男,無所属,-,"1,2,3,4",2441,下記,0.038658,198,11
佐久本洋介,佐久本 洋介,議長,男,無所属,-,"1,2,3,4",2441,原案,0.038607,449,12
佐久本洋介,佐久本 洋介,議長,男,無所属,-,"1,2,3,4",2441,交歓,0.038318,9,13
佐久本洋介,佐久本 洋介,議長,男,無所属,-,"1,2,3,4",2441,橋脚,0.038202,8,14
佐久本洋介,佐久本 洋介,議長,男,無所属,-,"1,2,3,4",2441,次長,0.03819,63,15
佐久本洋介,佐久本 洋介,議長,男,無所属,-,"1,2,3,4",2441,本案,0.038127,411,16
佐久本洋介,佐久本 洋介,議長,男,無所属,-,"1,2,3,4",2441,ｍｒ,0.037976,0,17
佐久本洋介,佐久本 洋介,議長,男,無所属,-,"1,2,3,4",2441,荷捌き,0.037909,36,18
佐久本洋介,佐久本 洋介,議長,男,無所属,-,"1,2,3,4",2441,懲罰,0.037709,67,19
佐久本洋介,佐久本 洋介,議長,男,無所属,-,"1,2,3,4",2441,陳情,0.037457,832,20
佐久本洋介,佐久本 洋介,議長,男,無所属,-,"1,2,3,4",2441,虫歯,0.036997,20,21
佐久本洋介,佐久本 洋介,議長,男,無所属,-,"1,2,3,4",2441,少数,0.036873,81,22
佐久本洋介,佐久本 洋介,議長,男,無所属,-,"1,2,3,4",2441,散会,0.036452,53,23
佐久本洋介,佐久本 洋介,議長,男,無所属,-,"1,2,3,4",2441,ｃｈ,0.036381,0,24
佐久本洋介,佐久本 洋介,議長,男,無所属,-,"1,2,3,4",2441,陸自,0.036366,28,25
佐久本洋介,佐久本 洋介,議長,男,無所属,-,"1,2,3,4",2441,球根,0.035989,6,26
佐久本洋介,佐久本 洋介,議長,男,無所属,-,"1,2,3,4",2441,弾薬,0.035981,67,27
佐久本洋介,佐久本 洋介,議長,男,無所属,-,"1,2,3,4",2441,両名,0.035884,19,28
佐久本洋介,佐久本 洋介,議長,男,無所属,-,"1,2,3,4",2441,一身,0.035414,25,29
佐久本洋介,佐久本 洋介,議長,男,無所属,-,"1,2,3,4",2441,諸般,0.035371,82,30
佐久本洋介,佐久本 洋介,議長,男,無所属,-,"1,2,3,4",2441,不時,0.035306,7,31
佐久本洋介,佐久本 洋介,議長,男,無所属,-,"1,2,3,4",2441,瓶類,0.035306,7,32
佐久本洋介,佐久本 洋介,議長,男,無所属,-,"1,2,3,4",2441,麻疹,0.035306,7,33
佐久本洋介,佐久本 洋介,議長,男,無所属,-,"1,2,3,4",2441,鉱山,0.035146,31,34
佐久本洋介,佐久本 洋介,議長,男,無所属,-,"1,2,3,4",2441,着席,0.035013,21,35
佐久本洋介,佐久本 洋介,議長,男,無所属,-,"1,2,3,4",2441,祝辞,0.03497,14,36
佐久本洋介,佐久本 洋介,議長,男,無所属,-,"1,2,3,4",2441,疾風,0.034741,8,37
佐久本洋介,佐久本 洋介,議長,男,無所属,-,"1,2,3,4",2441,投票,0.034386,117,38
佐久本洋介,佐久本 洋介,議長,男,無所属,-,"1,2,3,4",2441,学期,0.03435,56,39
佐久本洋介,佐久本 洋介,議長,男,無所属,-,"1,2,3,4",2441,陳述,0.034257,13,40
佐久本洋介,佐久本 洋介,議長,男,無所属,-,"1,2,3,4",2441,断水,0.034034,36,41
佐久本洋介,佐久本 洋介,議長,男,無所属,-,"1,2,3,4",2441,件名,0.033816,8,42
佐久本洋介,佐久本 洋介,議長,男,無所属,-,"1,2,3,4",2441,空軍,0.033816,8,43
佐久本洋介,佐久本 洋介,議長,男,無所属,-,"1,2,3,4",2441,解剖,0.033811,4,44
佐久本洋介,佐久本 洋介,議長,男,無所属,-,"1,2,3,4",2441,預かり金,0.033811,4,45
佐久本洋介,佐久本 洋介,議長,男,無所属,-,"1,2,3,4",2441,表決,0.033685,43,46
佐久本洋介,佐久本 洋介,議長,男,無所属,-,"1,2,3,4",2441,狩り,0.033599,121,47
佐久本洋介,佐久本 洋介,議長,男,無所属,-,"1,2,3,4",2441,揮発,0.033488,12,48
佐久本洋介,佐久本 洋介,議長,男,無所属,-,"1,2,3,4",2441,ｕｎｅｓｃｏ,0.033488,0,49
佐久本洋介,佐久本 洋介,議長,男,無所属,-,"1,2,3,4",2441,外傷,0.033458,6,50
佐久本洋介,佐久本 洋介,議長,男,無所属,-,"1,2,3,4",2441,改悪,0.033458,6,51
佐久本洋介,佐久本 洋介,議長,男,無所属,-,"1,2,3,4",2441,休園,0.033349,22,52
佐久本洋介,佐久本 洋介,議長,男,無所属,-,"1,2,3,4",2441,市町村議,0.033164,15,53
佐久本洋介,佐久本 洋介,議長,男,無所属,-,"1,2,3,4",2441,署名,0.032884,96,54
佐久本洋介,佐久本 洋介,議長,男,無所属,-,"1,2,3,4",2441,付託,0.0328,227,55
佐久本洋介,佐久本 洋介,議長,男,無所属,-,"1,2,3,4",2441,定足,0.032657,18,56
佐久本洋介,佐久本 洋介,議長,男,無所属,-,"1,2,3,4",2441,出漁,0.032652,11,57
佐久本洋介,佐久本 洋介,議長,男,無所属,-,"1,2,3,4",2441,再議,0.03262,15,58
佐久本洋介,佐久本 洋介,議長,男,無所属,-,"1,2,3,4",2441,古馬,0.032612,39,59
佐久本洋介,佐久本 洋介,議長,男,無所属,-,"1,2,3,4",2441,同定,0.032422,6,60
佐久本洋介,佐久本 洋介,議長,男,無所属,-,"1,2,3,4",2441,畜養,0.032422,6,61
佐久本洋介,佐久本 洋介,議長,男,無所属,-,"1,2,3,4",2441,補導,0.032422,6,62
佐久本洋介,佐久本 洋介,議長,男,無所属,-,"1,2,3,4",2441,付議,0.032281,46,63
佐久本洋介,佐久本 洋介,議長,男,無所属,-,"1,2,3,4",2441,申し合わせ,0.03224,24,64
佐久本洋介,佐久本 洋介,議長,男,無所属,-,"1,2,3,4",2441,漁師,0.032134,45,65
佐久本洋介,佐久本 洋介,議長,男,無所属,-,"1,2,3,4",2441,先手,0.032133,4,66
佐久本洋介,佐久本 洋介,議長,男,無所属,-,"1,2,3,4",2441,議了,0.032133,4,67
佐久本洋介,佐久本 洋介,議長,男,無所属,-,"1,2,3,4",2441,船員,0.031985,9,68
佐久本洋介,佐久本 洋介,議長,男,無所属,-,"1,2,3,4",2441,退席,0.031795,50,69
佐久本洋介,佐久本 洋介,議長,男,無所属,-,"1,2,3,4",2441,新法,0.031736,10,70
佐久本洋介,佐久本 洋介,議長,男,無所属,-,"1,2,3,4",2441,海原,0.031637,3,71
佐久本洋介,佐久本 洋介,議長,男,無所属,-,"1,2,3,4",2441,夜勤,0.031542,7,72
佐久本洋介,佐久本 洋介,議長,男,無所属,-,"1,2,3,4",2441,常食,0.031495,6,73
佐久本洋介,佐久本 洋介,議長,男,無所属,-,"1,2,3,4",2441,正副,0.031476,8,74
佐久本洋介,佐久本 洋介,議長,男,無所属,-,"1,2,3,4",2441,独居,0.031476,8,75
佐久本洋介,佐久本 洋介,議長,男,無所属,-,"1,2,3,4",2441,議題,0.031413,173,76
佐久本洋介,佐久本 洋介,議長,男,無所属,-,"1,2,3,4",2441,文案,0.031335,9,77
佐久本洋介,佐久本 洋介,議長,男,無所属,-,"1,2,3,4",2441,国保,0.031222,89,78
佐久本洋介,佐久本 洋介,議長,男,無所属,-,"1,2,3,4",2441,文教,0.031221,158,79
佐久本洋介,佐久本 洋介,議長,男,無所属,-,"1,2,3,4",2441,常任,0.031097,23,80
佐久本洋介,佐久本 洋介,議長,男,無所属,-,"1,2,3,4",2441,宛て先,0.030982,36,81
佐久本洋介,佐久本 洋介,議長,男,無所属,-,"1,2,3,4",2441,軽度,0.030912,11,82
佐久本洋介,佐久本 洋介,議長,男,無所属,-,"1,2,3,4",2441,分校,0.030862,13,83
佐久本洋介,佐久本 洋介,議長,男,無所属,-,"1,2,3,4",2441,金利,0.030862,13,84
佐久本洋介,佐久本 洋介,議長,男,無所属,-,"1,2,3,4",2441,傍聴,0.030805,21,85
佐久本洋介,佐久本 洋介,議長,男,無所属,-,"1,2,3,4",2441,退場,0.030799,7,86
佐久本洋介,佐久本 洋介,議長,男,無所属,-,"1,2,3,4",2441,一派,0.030762,4,87
佐久本洋介,佐久本 洋介,議長,男,無所属,-,"1,2,3,4",2441,仲買,0.030762,4,88
佐久本洋介,佐久本 洋介,議長,男,無所属,-,"1,2,3,4",2441,車載,0.030762,4,89
佐久本洋介,佐久本 洋介,議長,男,無所属,-,"1,2,3,4",2441,擁護,0.030668,38,90
佐久本洋介,佐久本 洋介,議長,男,無所属,-,"1,2,3,4",2441,百合,0.030657,12,91
佐久本洋介,佐久本 洋介,議長,男,無所属,-,"1,2,3,4",2441,付け根,0.030579,10,92
佐久本洋介,佐久本 洋介,議長,男,無所属,-,"1,2,3,4",2441,橋詰め,0.030567,25,93
佐久本洋介,佐久本 洋介,議長,男,無所属,-,"1,2,3,4",2441,居宅,0.030422,18,94
佐久本洋介,佐久本 洋介,議長,男,無所属,-,"1,2,3,4",2441,挙行,0.030305,5,95
佐久本洋介,佐久本 洋介,議長,男,無所属,-,"1,2,3,4",2441,魚価,0.030305,5,96
